id;Fecha;Incertidum;Fallecidos;Economicas
1;14/11/1928;High;5;0
2;19/11/1933;High;3;0
3;25/11/1933;High;0;0
4;9/11/1937;High;2;0
5;9/09/1941;High;0;0
6;26/12/1942;High;5;0
7;25/04/1943;High;0;0
8;5/09/1944;Mid;0;0
9;24/10/1945;High;0;0
10;31/12/1946;Mid;0;0
11;17/02/1947;Mid;1;0
12;18/02/1951;High;0;0
13;1/07/1954;High;0;0
14;11/07/1954;High;100;67
15;27/10/1955;High;0;0
16;25/11/1955;High;0;0
17;25/01/1960;High;1;0
18;3/03/1965;High;1;0
19;9/08/1965;Mid;1;0
20;23/05/1966;High;1;0
21;24/09/1966;Mid;1;0
22;5/06/1967;Mid;0;0
23;6/05/1969;High;0;0
24;16/05/1969;Mid;0;0
25;9/10/1970;High;0;0
26;2/02/1971;High;0;0
27;6/02/1971;High;0;0
28;21/03/1971;High;0;0
29;20/08/1971;High;0;0
30;1/11/1971;High;4;0
31;3/05/1972;High;3;0
32;12/05/1972;High;4;0
33;24/06/1973;High;13;0
34;1/09/1973;Mid;0;0
35;6/01/1974;High;0;0
36;28/09/1974;Mid;50;0
37;2/10/1974;High;0;0
38;28/10/1974;High;0;0
39;3/02/1975;High;18;0
40;9/06/1975;Mid;2;0
41;23/08/1975;Mid;2;0
42;28/10/1975;High;0;0
43;2/11/1976;Mid;0;0
44;28/04/1977;Mid;0;0
45;31/05/1977;High;4;0
46;10/06/1977;Mid;4;0
47;13/06/1979;Mid;0;0
48;28/06/1979;High;0;0
49;24/09/1979;Mid;0;0
50;4/11/1979;Mid;0;0
51;27/11/1979;High;2;0
52;28/11/1979;High;2;0
53;3/05/1980;High;4;0
54;4/05/1980;High;1;0
55;10/05/1980;High;0;0
56;3/10/1980;High;0;100
57;28/11/1980;Mid;0;0
58;18/04/1981;Mid;0;24
59;19/04/1981;Mid;0;0
60;2/05/1981;Mid;0;0
61;3/05/1981;Mid;0;0
62;4/05/1981;High;0;0
63;5/05/1981;High;0;0
64;9/05/1981;Mid;0;0
65;10/05/1981;Mid;0;0
66;22/05/1981;Mid;0;0
67;22/05/1981;Mid;0;0
68;22/05/1981;Mid;0;0
69;25/05/1981;Mid;0;0
70;8/06/1981;Mid;0;0
71;9/06/1981;Mid;0;0
72;30/06/1981;Mid;0;0
73;2/07/1981;Mid;0;0
74;19/09/1981;Mid;0;0
75;13/10/1981;Mid;0;0
76;21/10/1981;Mid;0;0
77;28/11/1981;Mid;0;0
78;29/11/1981;Mid;0;0
79;11/12/1981;Mid;0;0
80;22/12/1981;Mid;0;0
81;7/01/1982;High;0;0
82;30/01/1982;Mid;0;0
83;31/01/1982;Mid;0;0
84;26/02/1982;High;0;0
85;8/04/1982;Mid;0;0
86;27/04/1982;Mid;0;0
87;8/05/1982;Mid;0;0
88;22/05/1982;Mid;0;0
89;24/05/1982;High;0;0
90;27/05/1982;Mid;0;0
91;6/07/1982;Mid;1;0
92;24/10/1982;Mid;0;0
93;17/04/1983;Mid;0;0
94;17/04/1983;Mid;0;0
95;19/04/1983;Mid;0;0
96;23/04/1983;Mid;0;0
97;29/04/1983;Mid;0;0
98;18/05/1983;Mid;0;0
99;31/05/1983;Mid;0;0
100;6/09/1983;Mid;0;0
101;6/09/1983;Mid;0;0
102;19/09/1983;High;0;0
103;21/09/1983;Mid;0;0
104;30/10/1983;High;0;0
105;21/12/1983;Mid;0;0
106;18/01/1984;High;0;0
107;30/01/1984;Mid;0;0
108;8/05/1984;Mid;0;0
109;9/05/1984;Mid;0;0
110;14/05/1984;Mid;0;0
111;15/05/1984;Mid;0;0
112;15/05/1984;Mid;0;0
113;22/05/1984;Mid;0;0
114;16/06/1984;Mid;0;0
115;17/06/1984;High;0;0
116;22/06/1984;Mid;0;0
117;5/07/1984;High;0;0
118;13/07/1984;Mid;0;0
119;13/07/1984;Mid;0;0
120;13/07/1984;Mid;0;0
121;31/07/1984;High;1;0
122;1/08/1984;Mid;0;0
123;20/08/1984;Mid;1;0
124;14/09/1984;Mid;0;0
125;17/09/1984;Mid;0;0
126;19/09/1984;Mid;0;0
127;22/09/1984;Mid;0;0
128;15/10/1984;Mid;0;0
129;15/10/1984;Mid;0;0
130;19/10/1984;High;0;0
131;26/10/1984;Mid;0;0
132;27/10/1984;Mid;0;0
133;30/10/1984;High;0;0
134;1/11/1984;Mid;0;0
135;27/11/1984;Mid;0;0
136;7/12/1984;Mid;0;0
137;10/12/1984;Mid;0;0
138;15/01/1985;Mid;0;0
139;10/03/1985;Mid;0;0
140;10/05/1985;Mid;0;0
141;26/05/1985;Mid;0;0
142;4/06/1985;Mid;0;0
143;2/08/1985;High;2;22
144;8/08/1985;Mid;0;0
145;20/08/1985;Mid;0;0
146;21/08/1985;Mid;0;0
147;22/08/1985;Mid;2;1
148;23/08/1985;Mid;4;0
149;26/08/1985;Mid;0;0
150;5/09/1985;High;7;60
151;16/09/1985;Mid;0;0
152;24/09/1985;Mid;6;0
153;25/09/1985;Mid;0;0
154;25/09/1985;Mid;4;0
155;25/09/1985;Mid;0;0
156;26/09/1985;Mid;6;0
157;26/09/1985;Mid;0;0
158;30/09/1985;High;0;0
159;4/10/1985;Mid;0;0
160;8/10/1985;Mid;0;0
161;23/10/1985;Mid;0;0
162;29/10/1985;Mid;0;0
163;11/11/1985;High;0;0
164;13/11/1985;Mid;0;0
165;27/11/1985;Mid;0;0
166;8/03/1986;Mid;0;0
167;11/03/1986;Mid;1;0
168;15/03/1986;Mid;0;27
169;1/04/1986;Mid;0;0
170;21/04/1986;Mid;0;0
171;23/04/1986;Mid;0;0
172;24/05/1986;Mid;0;0
173;2/06/1986;Mid;0;0
174;2/06/1986;Mid;0;0
175;11/06/1986;Mid;0;0
176;29/08/1986;Mid;0;0
177;31/08/1986;High;0;0
178;8/10/1986;Mid;0;0
179;11/10/1986;Mid;0;0
180;12/10/1986;Mid;0;0
181;16/10/1986;Mid;0;0
182;19/10/1986;Mid;0;0
183;21/10/1986;Mid;1;0
184;21/10/1986;High;1;0
185;21/10/1986;Mid;0;0
186;22/10/1986;Mid;1;0
187;25/10/1986;High;0;25
188;25/10/1986;Mid;0;0
189;29/10/1986;High;0;22
190;4/11/1986;High;0;0
191;5/04/1987;Mid;0;0
192;3/05/1987;Mid;0;0
193;31/07/1987;Mid;0;0
194;26/09/1987;High;0;0
195;29/09/1987;Mid;0;0
196;29/09/1987;High;0;0
197;8/10/1987;Mid;0;0
198;8/10/1987;Mid;0;0
199;9/10/1987;Mid;0;0
200;27/12/1987;Mid;0;0
201;17/01/1988;High;0;0
202;25/06/1988;Mid;0;0
203;25/06/1988;Mid;0;0
204;25/06/1988;Mid;0;0
205;5/07/1988;Mid;0;12
206;5/07/1988;Mid;0;0
207;5/07/1988;Mid;0;0
208;7/07/1988;Mid;0;0
209;7/07/1988;Mid;0;0
210;7/07/1988;Mid;0;0
211;10/07/1988;Mid;0;0
212;4/08/1988;High;3;0
213;14/08/1988;High;0;0
214;14/08/1988;High;0;0
215;15/08/1988;High;3;0
216;15/08/1988;Mid;0;0
217;20/08/1988;Mid;0;0
218;20/08/1988;Mid;0;0
219;20/08/1988;Mid;0;0
220;29/08/1988;Mid;0;9
221;29/08/1988;Mid;0;36
222;29/08/1988;Mid;0;0
223;15/09/1988;Mid;0;0
224;13/10/1988;Mid;0;0
225;14/10/1988;Mid;1;0
226;16/10/1988;High;1;0
227;17/10/1988;Mid;0;6
228;17/10/1988;Mid;0;0
229;17/10/1988;Mid;0;0
230;18/10/1988;Mid;0;0
231;23/10/1988;Mid;0;0
232;26/10/1988;Mid;0;0
233;10/11/1988;Mid;0;0
234;10/11/1988;High;0;0
235;18/11/1988;High;0;0
236;21/11/1988;Mid;0;0
237;22/11/1988;Mid;0;0
238;22/11/1988;Mid;0;0
239;22/11/1988;Mid;0;0
240;22/11/1988;Mid;0;0
241;24/11/1988;Mid;0;0
242;18/12/1988;High;0;0
243;3/01/1989;Mid;0;0
244;26/02/1989;Mid;0;0
245;10/04/1989;Mid;0;0
246;4/09/1989;High;4;0
247;10/09/1989;Mid;0;0
248;10/09/1989;Mid;0;32
249;11/09/1989;Mid;0;0
250;12/09/1989;Mid;0;0
251;12/09/1989;Mid;0;0
252;21/10/1989;Mid;0;0
253;21/10/1989;Mid;0;0
254;31/10/1989;Mid;0;0
255;31/10/1989;Mid;0;0
256;1/05/1990;Mid;0;0
257;4/05/1990;Mid;0;0
258;24/08/1990;Mid;0;0
259;1/09/1990;Mid;0;0
260;4/09/1990;Mid;0;0
261;21/09/1990;High;0;0
262;8/10/1990;High;4;0
263;9/10/1990;Mid;0;0
264;19/10/1990;Mid;0;0
265;22/10/1990;Mid;0;3
266;25/10/1990;Mid;0;0
267;27/10/1990;High;1;948
268;29/10/1990;High;0;0
269;1/11/1990;Mid;0;0
270;2/11/1990;High;0;0
271;4/11/1990;Mid;0;7
272;5/11/1990;Mid;0;0
273;9/12/1990;High;0;0
274;2/02/1991;Mid;0;0
275;22/05/1991;Mid;0;0
276;23/05/1991;Mid;0;6
277;8/06/1991;Mid;0;0
278;19/09/1991;Mid;0;1
279;23/09/1991;Mid;0;0
280;24/09/1991;Mid;0;0
281;17/10/1991;Mid;0;0
282;17/10/1991;Mid;0;0
283;18/10/1991;Mid;0;0
284;15/11/1991;Mid;0;0
285;12/01/1992;Mid;0;0
286;15/02/1992;Mid;0;6
287;6/09/1992;Mid;0;5
288;21/09/1992;Mid;0;0
289;22/09/1992;Mid;0;10
290;6/10/1992;Mid;0;2
291;5/11/1992;Mid;0;0
292;8/11/1992;Mid;0;1
293;13/11/1992;Mid;0;6
294;19/11/1992;Mid;0;10
295;10/12/1992;Mid;0;0
296;24/01/1993;Mid;0;0
297;1/02/1993;Mid;0;14
298;24/02/1993;Mid;0;20
299;16/03/1993;High;0;0
300;20/03/1993;Mid;0;0
301;19/04/1993;High;0;0
302;27/04/1993;Mid;0;0
303;29/04/1993;Mid;0;4
304;29/04/1993;Mid;0;8
305;6/05/1993;Mid;0;11
306;1/06/1993;Mid;0;0
307;1/06/1993;Mid;0;0
308;10/06/1993;Mid;0;0
309;3/07/1993;High;0;0
310;14/07/1993;High;0;0
311;15/07/1993;High;0;0
312;29/07/1993;Mid;0;0
313;14/09/1993;Mid;0;0
314;15/09/1993;Mid;0;8
315;16/09/1993;Mid;0;0
316;1/10/1993;Mid;0;0
317;10/10/1993;Mid;1;11
318;19/10/1993;Mid;0;4
319;3/11/1993;Mid;0;13
320;20/11/1993;Mid;0;0
321;24/11/1993;Mid;0;0
322;13/12/1993;Mid;0;5
323;13/12/1993;Mid;0;0
324;14/12/1993;Mid;0;0
325;14/12/1993;Mid;0;0
326;16/01/1994;Mid;0;0
327;2/03/1994;Mid;0;0
328;5/04/1994;Mid;0;46
329;12/04/1994;Mid;0;5
330;20/04/1994;Mid;0;0
331;24/04/1994;Mid;0;12
332;1/05/1994;Mid;0;50
333;10/05/1994;Mid;0;0
334;12/05/1994;Mid;0;0
335;17/05/1994;Mid;0;10
336;23/05/1994;Mid;0;100
337;25/05/1994;Mid;0;11
338;29/05/1994;Mid;0;0
339;22/06/1994;Mid;0;100
340;11/07/1994;Mid;0;0
341;7/09/1994;High;3;0
342;11/09/1994;Mid;0;0
343;18/09/1994;Mid;0;9
344;26/09/1994;Mid;0;0
345;26/09/1994;High;0;0
346;10/10/1994;Mid;0;0
347;12/10/1994;Mid;0;10
348;12/10/1994;Mid;0;0
349;12/10/1994;Mid;0;0
350;19/10/1994;Mid;0;20
351;23/10/1994;Mid;0;0
352;24/10/1994;Mid;0;0
353;24/10/1994;Mid;0;0
354;24/10/1994;Mid;0;0
355;24/10/1994;Mid;0;0
356;24/10/1994;Mid;0;5
357;24/10/1994;Mid;0;4
358;24/10/1994;Mid;0;6
359;24/10/1994;Mid;0;1
360;25/10/1994;Mid;0;0
361;26/10/1994;Mid;0;0
362;31/10/1994;Mid;0;0
363;31/10/1994;Mid;0;0
364;1/11/1994;Mid;0;65
365;2/11/1994;Mid;0;0
366;3/11/1994;High;5;0
367;3/11/1994;High;7;7
368;3/11/1994;High;0;0
369;3/11/1994;High;0;0
370;5/11/1994;High;0;2
371;7/11/1994;High;0;0
372;8/11/1994;Mid;0;5
373;8/11/1994;Mid;0;0
374;9/11/1994;High;0;0
375;23/11/1994;Mid;0;0
376;23/11/1994;Mid;0;0
377;24/11/1994;Mid;0;4
378;24/11/1994;Mid;0;5
379;24/11/1994;High;0;0
380;24/11/1994;Mid;0;35
381;24/11/1994;Mid;0;0
382;24/11/1994;Mid;0;5
383;24/11/1994;Mid;0;8
384;25/11/1994;High;0;0
385;25/11/1994;Mid;0;0
386;25/11/1994;Mid;0;0
387;25/11/1994;Mid;0;0
388;25/11/1994;Mid;0;13
389;20/12/1994;High;0;0
390;14/03/1995;High;0;12
391;21/03/1995;Mid;0;0
392;22/03/1995;Mid;0;0
393;21/04/1995;Mid;0;0
394;23/04/1995;Mid;0;8
395;29/04/1995;Mid;0;0
396;14/05/1995;High;0;0
397;14/05/1995;Mid;1;0
398;15/05/1995;Mid;1;10
399;15/05/1995;Mid;1;0
400;15/05/1995;Mid;1;0
401;6/06/1995;Mid;0;0
402;6/06/1995;High;0;0
403;6/06/1995;High;0;6
404;7/06/1995;Mid;0;0
405;7/06/1995;Mid;0;0
406;7/06/1995;Mid;0;0
407;7/06/1995;Mid;0;0
408;14/06/1995;Mid;0;0
409;26/07/1995;Mid;0;0
410;29/07/1995;Mid;0;0
411;31/07/1995;Mid;0;0
412;1/08/1995;Mid;0;0
413;1/08/1995;Mid;0;0
414;3/08/1995;Mid;0;0
415;4/08/1995;Mid;0;0
416;4/08/1995;Mid;0;0
417;4/08/1995;Mid;0;0
418;4/08/1995;Mid;0;0
419;11/08/1995;Mid;0;0
420;11/08/1995;Mid;0;0
421;14/08/1995;Mid;0;0
422;16/08/1995;Mid;0;0
423;19/08/1995;Mid;0;0
424;19/08/1995;Mid;0;0
425;20/08/1995;Mid;0;0
426;20/08/1995;Mid;0;0
427;20/08/1995;Mid;0;200
428;20/08/1995;Mid;0;0
429;20/08/1995;High;0;0
430;20/08/1995;High;0;0
431;20/08/1995;Mid;0;0
432;20/08/1995;Mid;0;0
433;20/08/1995;Mid;0;0
434;20/08/1995;Mid;0;0
435;21/08/1995;Mid;0;0
436;21/08/1995;Mid;0;0
437;21/08/1995;High;0;0
438;21/08/1995;High;0;0
439;21/08/1995;High;0;0
440;21/08/1995;High;0;0
441;21/08/1995;Mid;0;0
442;22/08/1995;Mid;0;0
443;22/08/1995;Mid;0;0
444;22/08/1995;Mid;0;32
445;22/08/1995;Mid;0;0
446;22/08/1995;Mid;0;0
447;23/08/1995;Mid;0;0
448;27/08/1995;High;0;0
449;6/12/1995;Mid;0;0
450;11/12/1995;Mid;0;0
451;13/12/1995;Mid;0;0
